accession,condition,replicate,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Q7TPR4,Liver,1,0.23531,0,0.20942,0.53425,0.14417,0.20409,0.27219,0.21178,0.40434,0.15539,0.10479,0.16153,0.30711,0.21476,0.15073,0.24214,0.31454,0.36461,0.42319,0.73886,0.87869,1.3241,2.8831,14.273,36.739,51.245,43.237,24.609,13.694,5.5931,3.1835,1.352,0.75665,0.55307,0.3529,0.3799,0.27853,0.23835,0.2628,0.2611,0.22044,0,0,1.4841,0,0,0.14162,0,0,0.064039,0.04404,0.056109,0,0,0
Q7TPR4,Liver,2,0.1402,0.33063,0.24122,0.27746,0.29614,0.61206,0.45761,0.194,0.19188,0.19339,0.20624,0.25087,0.27208,0.17486,0.16522,0.25062,0.29412,0.35529,0.56925,1.5761,5.3454,10.55,12.707,11.489,8.3665,6.1738,4.1751,2.2783,1.4533,0,0.60803,0.47663,0.41949,0.47225,0.41488,0.28238,0.58312,0.34792,0.27868,0.58044,0.24073,0.1684,0.2504,0.20136,0.46959,0.14682,0.18184,0.23059,0.32155,0.22498,0,1.1245,0,0.57676,0
Q7TPR4,Lung,1,0.29348,0.45188,0.49625,0.47174,0.41797,0.38746,0.43992,0.41941,0.39609,0.4091,0.45391,0.47593,0.5862,0.73777,0.84807,1.0996,1.5649,2.3997,4.1754,13.409,31.236,43.61,36.893,23.7,9.3363,4.414,2.0048,1.1174,0.62353,0.38517,0,0.3152,0.2536,0.20931,0.1938,0.14561,0.17104,0,0.13845,0.1715,0.15167,0,0.15386,0.10517,0.14895,0.17761,0,0.25516,0.81943,0,0,0,0,0,0
Q7TPR4,Lung,2,0.25844,0.41028,0.72889,0.70207,0.86139,0.59726,0.80734,0.57774,0,0.64811,0.67079,0.63498,0.43993,0.68468,0.9234,0.9932,1.4744,2.3019,2.4737,3.9711,9.8837,24.243,35.291,46.091,35.15,18.03,11.523,4.9509,3.0396,1.8458,1.4897,1.1153,0.87664,0.8052,0.56455,0.49625,0.60081,0.58044,0.45635,0.56632,0,0,0.51215,0.36836,0.3272,0.58343,0.44251,0,0.40039,0,0.52915,0,0,0.3127,0
Q7TPR4,Muscle,1,0.095147,0.11202,0.1051,0.15814,0.32784,0.16845,0.22422,0.38207,0.31772,0.18537,0.31169,0.43213,0,0.1049,0.14071,0.058496,0.10456,0.12067,0.23237,0.18682,0.17328,0.30783,0.78234,0.31666,0.28058,0.48996,0.97171,0.21127,0.60637,1.979,0.06231,0.49156,0.25594,0.082859,0.078306,0.09824,0.23538,0.072051,0.070266,0.027632,0.080303,0.049255,0.24121,0.046446,0.086328,0.060801,0,0,0.098101,0.27906,0,0,0,0,0
Q7TPR4,Muscle,2,0.11518,0.081874,0.069888,0.066049,0.14958,0.081952,0.17733,0.050709,0.32973,0.1314,0.099991,0.089747,0.13162,0.086612,0.091171,0.052547,0.11083,0.10826,0.083048,0.11385,0.10722,0.13878,0.19007,0.11704,0.10841,0.11916,0.36319,0.10788,0.24425,0.13608,0.099153,0.11151,0.19544,0.19956,0.14605,0.18991,0.14377,0.11875,0.21016,0.23363,0.12626,0.08211,0.16397,0.31398,0.10059,0.23529,0.32918,0.10364,0.12515,0.059823,0.08582,0.17309,1.1148,0.70082,0.099675
Q7TPR4,Thymus,1,0.10261,0.16055,0.25437,0.25073,0.2551,0.16704,0.143,0.14729,0.11761,0.16195,0.19311,0.16326,0.26565,0.27356,0.25187,0.27997,0.28471,0.42521,0.65163,1.4281,5.7286,18.539,41.124,51.392,35.354,15.952,6.3046,2.2211,1.2474,0.70183,0.48469,0.41168,0.32364,0.22942,0.19608,0.21658,0.1405,0.15864,0.1748,0.16504,0.11651,0.13883,0.14228,0.13346,0.12092,0.1151,0.08495,0.23004,0.81686,0.80722,0.20542,0.21953,0.18534,0.3261,0.10219
Q7TPR4,Thymus,2,0.1783,0.20132,0.28186,0.26987,0.39944,0.29865,0.32632,0.16712,0.31841,0.22061,0.28638,0.2916,0.39244,0.36005,0.32087,0.36584,0.52634,0.49114,0.49049,0.86142,1.4905,1.8974,3.6202,8.1497,20.285,24.26,18.736,12.696,5.9321,2.6069,1.3536,0.98257,0.75755,0.55978,0.63383,0.4065,0.34212,0.27709,0.37248,0.26989,0.33555,0.22417,0.5115,0.34013,0.39223,0.29907,0.27266,0.37273,0.28153,0.19531,0.20066,0.21831,0.2619,0.26966,0.2669
Q61214,Brain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Brain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2878,2.4527,0,0,0,0,0,0,2.3688,6.7826,5.5973,4.1901,8.1788,4.5481,4.3231,6.5807,5.4407,3.9027,4.8441,2.8526,2.3326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Heart,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Kidney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Kidney,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Liver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Liver,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Lung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Lung,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Muscle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Muscle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Thymus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q61214,Thymus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q62077,Brain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6425,0,0,0,0,4.1319,1.9243,1.7649,0,0,0,0,0,0,0,0,0,0,0,2.4027,25.45,11.109,14.46,49.569
Q62077,Brain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1992,0,0,0,1.2394,0,0,0,0,0,0,1.7142,0,2.3526,2.6218,3.0643,2.4356,0,2.1645,2.5221,3.106,2.8127,2.7364,3.1409,0,0,0,0,5.3295,7.0954,15.302,19.003,18.893,17.842,13.573,0,0,7.5266,0,0,0
Q62077,Heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7301,4.9904,8.8954,13.265,4.3998,0,0,0,0
Q62077,Heart,2,0.27485,0.21784,0.39258,0,0,0,0,0.33211,0,0,0.40427,0,0.26656,0.43687,0.27872,0.25318,0.20188,0,0.14932,0.26195,0,0,0,0.63063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.922,1.9307,2.2717,0,0,0,0
Q62077,Kidney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8973,0,0,2.2999,0,5.967,12.326,6.6989,12.156,0,0,0,0,0,0
Q62077,Kidney,2,0,0,0,0,0.76785,0.52019,0,0.84704,0.15934,0.22836,0,0,0.46606,0,0.67671,0.12016,0.24982,0.2149,0.59263,0.24909,0.34523,0.34211,0.1097,0,0.48739,0.11712,0,0,0.26346,0,0.29977,0,0.8483,0.19745,0.31638,0.41358,0,0.41521,0.61875,0.44143,0.59218,0.94667,0.54491,0.9576,0,2.7889,4.8513,9.5934,12.037,11.935,5.3278,3.0821,0,0,0
Q62077,Liver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8813,0,0,0,0,2.5826,2.2483,3.2341,0,0,3.3084,0,0,4.5494,6.0069,5.391,14.624,7.9263,12.337,28.1,42.305,11.878,7.7924,0
Q62077,Liver,2,0,0,0,0,0,0,0,0,0,0,0.4386,0.31769,0,0,0.55697,0,0,0,0,0,0,0,0,0,0,0,0,0.98759,0,0,0,0,1.3906,0,0,0,1.6774,1.6102,2.0225,2.4236,0,0,0,3.5433,5.5557,8.7329,18.487,10.693,8.1917,6.3209,9.5058,5.1287,2.4346,0,0
Q62077,Lung,1,0,0.39803,0.37201,0.4223,0.30318,0.21904,0.27943,0,0,0.39177,0,0,0,0,0.38815,0,0.62416,0.63311,0.61783,0.88624,0,0,0,0,0,0,0,0,0,0,1.1022,0,0,0,0,0,0,0,0,3.0182,0,0,0,6.4656,10.354,17.541,13.918,35.657,3.5399,8.1692,0,0,0,0,0
Q62077,Lung,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1066,0,0,0,0,0,1.5792,0,0,0,0,1.6835,1.7123,2.2177,2.21,0,2.4572,2.3844,2.4556,0,0,0,0,3.2527,4.3611,8.1311,25.321,25.806,22.326,17.817,7.3471,0,0,0,0
Q62077,Muscle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44257,0,0,0,0,0,0,0,4.132,4.0268,10.458,6.1635,5.0592,0,0,0,0,0
Q62077,Muscle,2,0.31655,0.33862,0.2776,0.19016,0.33344,0,0.12897,0.35369,0.15937,0.18004,0,0.50253,0,0.30813,0.42903,0.12836,0.38259,0.14139,0.087901,0.14104,0.11341,0.12947,0.30236,0.096956,0.14501,0.14496,0.10804,0.10114,0.091998,0.24358,0.43659,0.20694,0.097837,0.23848,0.18455,0.31851,0.11646,0.23583,0,0.20843,0.20699,0.11567,0.11632,0.19375,0.23544,0.25773,0.34457,0.37819,0.67898,0.90878,1.0116,0.66735,0,0,0.58238
Q62077,Thymus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7959,4.6419,11.492,16.885,9.7213,7.0382,3.9136,0,0,0
Q62077,Thymus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5172,0,0.67869,0,0,0,0,0,0,0,0,0,0,0,0,2.7646,6.1878,8.2602,8.1853,5.3966,2.6658,1.1801
Q99PI4,Brain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Brain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Heart,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Kidney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Kidney,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Liver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Liver,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Lung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Lung,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Muscle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Muscle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Thymus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q99PI4,Thymus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O70423,Brain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O70423,Brain,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O70423,Heart,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O70423,Heart,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
